datetime,nav,cash,position_value,position_size,returns,in_sample,cumpnl
2021-01-05 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-06 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-06 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-06 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-06 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-06 16:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-06 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-07 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-07 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-07 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-07 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-07 16:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-07 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-08 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-08 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-08 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-08 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-08 16:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-08 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-09 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-09 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-09 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-09 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-09 16:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-09 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-10 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-10 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-10 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-10 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
