datetime,pnl
2021-01-10,813.4300000000003
2021-01-14,1380.9199999999983
2021-01-16,-1499.6100000000006
2021-01-19,728.9799999999959
2021-01-20,-700.9799999999959
2021-01-23,-659.7299999999959
2021-01-26,632.8199999999997
2021-01-27,-656.7200000000012
2021-01-28,638.7599999999984
2021-01-31,672.6500000000015
2021-02-02,696.4400000000023
2021-02-06,-754.9099999999962
2021-02-06,789.3099999999977
2021-02-07,781.1299999999974
2021-02-08,875.7200000000012
2021-02-10,-887.9400000000023
2021-02-17,1023.6299999999974
2021-02-19,-1032.3899999999994
2021-02-19,1200.2200000000012
2021-02-22,1119.0899999999965
2021-02-25,1008.1200000000026
2021-02-26,941.7900000000009
2021-02-27,-943.5899999999965
2021-02-28,-892.9300000000003
2021-03-01,927.0399999999936
2021-03-05,960.4000000000015
2021-03-07,991.6499999999942
2021-03-12,1134.3799999999974
2021-03-13,1198.1200000000026
2021-03-15,1200.3800000000047
2021-03-18,-1179.1800000000003
2021-03-21,1156.280000000006
2021-03-24,-1129.4300000000003
2021-03-25,1046.2300000000032
2021-03-26,1055.199999999997
2021-03-31,-1290.2300000000032
2021-04-02,-1172.8799999999974
2021-04-06,-1181.6399999999994
2021-04-07,1166.0199999999968
2021-04-09,1155.5699999999997
2021-04-13,-1201.5
2021-04-13,1936.3599999999933
2021-04-16,1260.3799999999974
2021-04-20,-1124.3600000000006
2021-04-23,1395.300000000003
2021-04-25,-1013.9700000000012
2021-04-29,1089.3899999999994
2021-05-01,1142.7599999999948
2021-05-03,-1133.6399999999994
2021-05-03,-1174.5599999999977
2021-05-06,1144.8699999999953
2021-05-07,-1115.4000000000015
2021-05-08,1151.1600000000035
2021-05-10,-1149.2300000000032
2021-05-10,-1188.5699999999997
2021-05-10,1163.3799999999974
2021-05-12,-1143.2200000000012
2021-05-15,-1003.7799999999988
2021-05-16,-1633.5
2021-05-17,-911.4700000000012
2021-05-18,-903.510000000002
2021-05-19,815.4500000000044
2021-05-20,-809.1699999999983
2021-05-22,744.2199999999939
2021-05-22,-762.7200000000012
2021-05-23,-666.0899999999965
2021-05-24,945.9600000000064
