datetime,pnl,in_sample
2021-01-13 20:00:00,-1603.6100000000006,True
2021-01-18 00:00:00,149.9300000000003,True
2021-01-21 20:00:00,-226.51000000000204,True
2021-01-22 12:00:00,-867.4700000000012,True
2021-02-01 08:00:00,509.5699999999997,True
2021-02-23 16:00:00,-2246.0399999999936,True
2021-02-24 00:00:00,-3379.459999999999,True
2021-02-26 12:00:00,654.1800000000003,True
2021-03-05 20:00:00,-1410.3099999999977,True
2021-03-07 00:00:00,-135.52999999999884,True
2021-03-08 20:00:00,-753.4700000000012,True
2021-03-24 12:00:00,825.9400000000023,True
2021-03-28 16:00:00,-591.8300000000017,True
2021-04-08 16:00:00,-1305.0699999999997,True
2021-04-10 04:00:00,-1175.9200000000055,True
2021-04-18 08:00:00,-1367.489999999998,True
2021-04-28 20:00:00,-1080.3799999999974,True
2021-05-11 20:00:00,-828.9800000000032,True
2021-05-14 12:00:00,5903.07,True
2021-06-02 08:00:00,-508.9599999999991,True
2021-06-04 00:00:00,-635.3499999999985,True
2021-06-08 20:00:00,5107.409999999996,True
2021-06-11 12:00:00,-469.5,True
2021-06-13 16:00:00,-431.5899999999965,True
2021-06-20 20:00:00,628.2200000000012,True
2021-07-03 08:00:00,637.5299999999988,True
2021-07-06 08:00:00,-507.83000000000175,True
2021-07-09 16:00:00,308.1399999999994,True
2021-07-14 16:00:00,567.3600000000006,True
2021-08-05 16:00:00,-717.7900000000009,True
2021-08-19 16:00:00,-1554.989999999998,True
2021-08-27 08:00:00,-561.9400000000023,True
2021-08-30 20:00:00,-626.6300000000047,True
2021-09-03 12:00:00,-904.6299999999974,True
2021-09-09 16:00:00,-348.59999999999854,True
2021-09-22 04:00:00,3507.2599999999948,True
2021-10-28 12:00:00,-637.6700000000055,True
2021-10-29 16:00:00,-1159.3400000000038,True
2021-11-02 12:00:00,-1869.270000000004,True
2021-11-07 20:00:00,-404.9800000000032,True
2021-11-12 20:00:00,-677.8799999999974,True
2021-11-19 16:00:00,3054.3099999999977,True
2021-11-29 20:00:00,-999.7799999999988,True
2021-12-03 12:00:00,-648.3399999999965,True
2021-12-04 16:00:00,7864.669999999998,True
2021-12-15 00:00:00,-1490.9199999999983,True
2021-12-19 04:00:00,898.8799999999974,True
2021-12-22 04:00:00,-828.489999999998,True
2021-12-30 08:00:00,-516.7799999999988,True
2021-12-31 12:00:00,-792.4000000000015,True
2022-01-20 16:00:00,-102.7300000000032,True
2022-01-23 08:00:00,5110.059999999998,True
2022-02-21 16:00:00,3103.300000000003,True
2022-03-07 12:00:00,-465.40000000000146,True
2022-03-09 04:00:00,-2548.5999999999985,True
2022-03-11 12:00:00,-724.0,True
2022-03-15 20:00:00,-984.2999999999956,True
2022-03-16 12:00:00,-1222.0,True
2022-03-20 00:00:00,-583.1999999999971,True
2022-04-13 16:00:00,3025.0,True
2022-04-25 20:00:00,-789.5,True
2022-04-27 08:00:00,-523.0,True
2022-05-02 08:00:00,1105.0999999999985,True
2022-05-10 08:00:00,5283.700000000001,True
2022-05-23 00:00:00,-111.5,True
2022-05-25 04:00:00,-23.799999999999272,True
2022-05-30 04:00:00,-649.8999999999978,True
2022-06-02 12:00:00,-360.8999999999978,True
2022-06-04 16:00:00,-296.6000000000022,True
2022-06-06 04:00:00,-1479.2000000000007,True
2022-06-14 08:00:00,7419.700000000001,True
2022-06-25 20:00:00,-236.40000000000146,True
2022-07-01 00:00:00,186.60000000000218,True
2022-07-14 16:00:00,-651.3000000000029,True
2022-07-18 04:00:00,-253.1999999999971,True
2022-07-19 00:00:00,-808.5999999999985,True
2022-07-27 00:00:00,-503.40000000000146,True
2022-07-27 08:00:00,-269.7999999999993,True
2022-08-03 20:00:00,-234.0,True
