datetime,pnl,entry_price,exit_price,return,in_sample
2021-01-03 00:00:00,467.619999999999,32198.41,31720.79,0.014523077381771304,True
2021-01-03 16:00:00,-947.1900000000023,33538.81,34476.0,-0.0282416102419854,True
2021-01-04 04:00:00,-748.510000000002,33562.23,32823.72,-0.022302153343207586,True
2021-01-04 16:00:00,422.3600000000006,31755.02,32187.38,0.013300574208424386,True
2021-01-05 04:00:00,-820.5900000000001,31218.96,32029.55,-0.026284988353231502,True
2021-01-06 20:00:00,3035.239999999998,34861.71,31816.47,0.08706514970149193,True
2021-01-07 00:00:00,-1974.0599999999977,36825.77,34861.71,-0.05360539643841793,True
2021-01-08 04:00:00,1538.9500000000044,38374.72,36825.77,0.040103224205935685,True
2021-01-08 20:00:00,-983.5400000000009,40426.44,41399.98,-0.02432912717518537,True
2021-01-11 20:00:00,6939.249999999996,32284.74,39233.99,0.21493900833644614,True
2021-01-12 12:00:00,35.55000000000291,35452.47,35406.92,0.001002751007193657,True
2021-01-13 08:00:00,-1186.2300000000032,35019.26,33843.03,-0.03387364553105928,True
2021-01-15 00:00:00,3117.8899999999994,39163.31,36035.42,0.07961252509044817,True
2021-01-16 00:00:00,2398.0599999999977,36755.25,39163.31,0.06524401276008183,True
2021-01-16 20:00:00,-187.80999999999767,36421.89,36599.7,-0.005156514392855442,True
2021-01-17 16:00:00,-967.1399999999994,35744.9,34787.76,-0.02705672697363818,True
2021-01-18 04:00:00,-737.4700000000012,35148.25,35875.72,-0.02098169894660477,True
2021-01-19 20:00:00,197.04000000000087,36346.15,36139.11,0.0054212069228790636,True
2021-01-20 20:00:00,653.9700000000012,35227.77,35891.74,0.018564047624927756,True
2021-01-21 04:00:00,-902.0900000000038,34607.14,35499.23,-0.026066586259367395,True
2021-01-21 20:00:00,-236.51000000000204,32473.65,32247.14,-0.007283135711569288,True
2021-01-23 04:00:00,631.7599999999984,32385.0,31743.24,0.019507796819515158,True
2021-01-23 20:00:00,-701.1000000000022,32356.2,31665.1,-0.02166818105958061,True
2021-01-24 16:00:00,-535.4900000000016,31968.53,32494.02,-0.016750535604858955,True
2021-01-25 00:00:00,-991.2200000000012,32274.88,31293.66,-0.030711810547397887,True
2021-01-25 20:00:00,-160.1600000000035,33449.84,33600.0,-0.004788064756064708,True
2021-01-26 20:00:00,23.220000000001164,32220.46,32253.68,0.0007206601023077003,True
2021-01-27 04:00:00,-667.390000000003,31817.42,32474.81,-0.02097561650190377,True
2021-01-28 04:00:00,-787.0900000000001,31424.24,30647.15,-0.02504722469023913,True
2021-01-29 08:00:00,822.0,32307.25,31475.25,0.025443205472455873,True
2021-01-29 20:00:00,-2719.4400000000023,34360.0,37069.44,-0.07914551804423756,True
2021-01-30 08:00:00,180.48999999999796,34076.55,34267.04,0.005296604263048869,True
2021-01-30 20:00:00,-640.2100000000064,34337.98,33707.77,-0.01864436987848459,True
2021-01-31 08:00:00,-716.9700000000012,33631.01,34337.98,-0.021318717457489415,True
2021-02-01 04:00:00,20.639999999999418,33600.37,33631.01,0.0006142789499044033,True
2021-02-01 16:00:00,-657.1500000000015,33181.26,33828.41,-0.019804853703566452,True
2021-02-02 12:00:00,-1238.8099999999977,34821.6,33592.79,-0.035575906908355666,True
2021-02-03 12:00:00,208.4300000000003,36024.06,35805.63,0.00578585534223517,True
2021-02-04 00:00:00,-1637.8600000000006,37651.92,36024.06,-0.043500039307424444,True
2021-02-04 20:00:00,-912.6500000000015,37508.08,36605.43,-0.024332090578883307,True
