datetime,pnl,strategy
2021-01-13 16:00:00,-279.5400000000009,S1
2021-01-13 16:00:00,-279.5400000000009,S5
2021-01-13 16:00:00,-279.5400000000009,S4
2021-01-13 16:00:00,-279.5400000000009,S3
2021-01-13 16:00:00,-279.5400000000009,S2
2021-01-17 04:00:00,-195.54999999999563,S1
2021-01-17 04:00:00,-195.54999999999563,S3
2021-01-17 04:00:00,-195.54999999999563,S5
2021-01-17 04:00:00,-195.54999999999563,S4
2021-01-17 04:00:00,-195.54999999999563,S2
2021-01-21 12:00:00,-2434.770000000004,S3
2021-01-21 12:00:00,-2434.770000000004,S5
2021-01-21 12:00:00,-2434.770000000004,S2
2021-01-21 12:00:00,-2434.770000000004,S4
2021-01-21 12:00:00,-2434.770000000004,S1
2021-01-22 00:00:00,-1597.869999999999,S2
2021-01-22 00:00:00,-1597.869999999999,S4
2021-01-22 00:00:00,-1597.869999999999,S5
2021-01-22 00:00:00,-1597.869999999999,S1
2021-01-22 00:00:00,-1597.869999999999,S3
2021-01-30 20:00:00,-68.4800000000032,S2
2021-01-30 20:00:00,-34.23999999999796,S1
2021-01-30 20:00:00,-85.59999999999854,S5
2021-01-30 20:00:00,-51.36000000000058,S4
2021-01-30 20:00:00,-102.72000000000116,S3
2021-01-31 16:00:00,-725.0900000000038,S3
2021-01-31 16:00:00,-725.0900000000038,S5
2021-01-31 16:00:00,-725.0900000000038,S2
2021-01-31 16:00:00,-725.0900000000038,S1
2021-01-31 16:00:00,-725.0900000000038,S4
2021-02-23 16:00:00,-2246.0399999999936,S3
2021-02-23 16:00:00,-2246.0399999999936,S5
2021-02-23 16:00:00,-2246.0399999999936,S2
2021-02-23 16:00:00,-2246.0399999999936,S1
2021-02-23 16:00:00,-2246.0399999999936,S4
2021-02-24 00:00:00,-3379.459999999999,S3
2021-02-24 00:00:00,-3379.459999999999,S4
2021-02-24 00:00:00,-3379.459999999999,S2
2021-02-24 00:00:00,-3379.459999999999,S5
2021-02-24 00:00:00,-3379.459999999999,S1
2021-02-26 04:00:00,-257.07999999999447,S5
2021-02-26 04:00:00,-257.07999999999447,S4
2021-02-26 04:00:00,-257.07999999999447,S2
2021-02-26 04:00:00,-257.07999999999447,S1
2021-02-26 04:00:00,-257.07999999999447,S3
