datetime,S1,S2,S3,S4,S5,combined
2021-06-04 16:00:00,-10987.829999999969,-11267.719999999983,-10933.619999999977,-11107.209999999974,-11445.529999999973,-55741.90999999987
2021-06-07 16:00:00,-11329.839999999971,-11609.729999999985,-11275.62999999998,-11449.219999999976,-11787.539999999975,-57451.95999999988
2021-06-09 20:00:00,-11446.879999999972,-11726.769999999986,-11392.66999999998,-11566.259999999977,-11904.579999999976,-58037.15999999989
2021-06-10 20:00:00,-11483.769999999971,-11800.559999999987,-11503.34999999998,-11621.599999999973,-11996.809999999972,-58406.08999999988
2021-06-11 08:00:00,-11099.22999999997,-11416.019999999986,-11118.80999999998,-11237.059999999972,-11612.269999999971,-56483.389999999876
2021-06-12 08:00:00,-11134.809999999972,-11487.169999999987,-11225.539999999983,-11290.419999999973,-11701.209999999974,-56839.149999999885
2021-06-14 08:00:00,-11173.789999999975,-11565.129999999986,-11342.469999999983,-11348.889999999974,-11798.649999999976,-57228.92999999989
2021-06-19 20:00:00,-11209.889999999974,-11637.339999999986,-11170.299999999985,-11403.049999999977,-11626.479999999978,-57047.059999999896
2021-06-29 20:00:00,-11246.11999999997,-11709.819999999982,-11279.019999999979,-11457.409999999978,-11717.079999999976,-57409.44999999988
2021-06-30 08:00:00,-11359.79999999997,-11823.499999999982,-11392.699999999979,-11571.089999999978,-11830.759999999977,-57977.84999999988
2021-06-30 16:00:00,-12012.999999999967,-12476.699999999979,-12045.899999999976,-12224.289999999975,-12483.959999999974,-61243.84999999987
2021-07-01 12:00:00,-12046.339999999971,-12543.37999999998,-12145.909999999978,-12274.299999999977,-12567.299999999977,-61577.22999999988
2021-07-02 08:00:00,-12489.889999999974,-12986.929999999982,-12589.459999999981,-12717.84999999998,-13010.84999999998,-63794.979999999894
2021-07-03 08:00:00,-13465.409999999978,-13962.449999999986,-13564.979999999985,-13693.369999999984,-13986.369999999984,-68672.57999999991
2021-07-05 08:00:00,-13499.759999999984,-14031.139999999989,-13668.019999999986,-13744.889999999989,-14072.229999999985,-69016.03999999992
2021-07-05 16:00:00,-13533.089999999986,-14097.839999999986,-13768.079999999984,-13794.89999999999,-14155.609999999982,-69349.51999999992
2021-07-08 04:00:00,-12970.139999999989,-13534.889999999989,-13205.129999999986,-13231.949999999993,-13592.659999999985,-66534.76999999993
2021-07-11 12:00:00,-12679.629999999986,-13244.379999999986,-12914.619999999984,-12941.439999999991,-13302.149999999983,-65082.21999999992
2021-07-12 20:00:00,-12167.889999999989,-12732.639999999989,-12402.879999999986,-12429.699999999993,-12790.409999999985,-62523.51999999993
2021-07-24 04:00:00,-12198.799999999985,-12797.189999999984,-12299.259999999984,-12477.42999999999,-12703.59999999998,-62476.27999999991
2021-08-05 16:00:00,-12916.589999999986,-13514.979999999985,-13017.049999999985,-13195.21999999999,-13421.389999999981,-66065.22999999992
2021-08-19 16:00:00,-14471.579999999984,-15069.969999999983,-14572.039999999983,-14750.209999999988,-14976.37999999998,-73840.1799999999
2021-08-20 00:00:00,-14518.299999999985,-14976.52999999998,-14431.87999999998,-14680.129999999986,-14859.579999999976,-73466.4199999999
2021-08-26 12:00:00,-14565.219999999983,-15070.369999999977,-14572.639999999981,-14750.509999999984,-14976.87999999998,-73935.6199999999
2021-08-26 20:00:00,-14439.449999999979,-14944.599999999973,-14432.179999999982,-14624.73999999998,-14851.109999999975,-73292.07999999987
2021-08-30 20:00:00,-15066.079999999984,-15571.229999999978,-15058.809999999987,-15251.369999999984,-15477.73999999998,-76425.2299999999
2021-09-02 20:00:00,-15267.189999999984,-15772.339999999978,-15259.919999999987,-15452.479999999985,-15678.84999999998,-77430.7799999999
