datetime,nav,cash,position_value,position_size,returns,in_sample,cumpnl
2021-01-10 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-11 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-11 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-11 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-11 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-11 16:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-11 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-12 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-12 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-12 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-12 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-12 16:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-12 20:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-13 00:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-13 04:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-13 08:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-13 12:00:00,5000000.0,5000000.0,0.0,0,0.0,True,0.0
2021-01-13 16:00:00,5001324.08,4965288.65,36035.43,1,0.00026481600000005656,True,1324.0800000000745
2021-01-13 20:00:00,5002709.720000001,4965288.65,37421.07,1,0.0002770546315007394,True,2709.7200000006706
2021-01-14 00:00:00,5002391.65,4965288.65,37103.0,1,-6.35795434479336e-05,True,2391.6500000003725
2021-01-14 04:00:00,5003528.65,4965288.65,38240.0,1,0.0002272912797620652,True,3528.6500000003725
2021-01-14 08:00:00,5003704.04,4965288.65,38415.39,1,3.505326186137303e-05,True,3704.0400000000373
2021-01-14 12:00:00,5004869.61,4965288.65,39580.96,1,0.0002329414351214254,True,4869.610000000335
2021-01-14 16:00:00,5005214.15,4965288.65,39925.5,1,6.884095428016934e-05,True,5214.1500000003725
2021-01-14 20:00:00,5004451.96,4965288.65,39163.31,1,-0.00015227919868332496,True,4451.959999999963
2021-01-15 00:00:00,5004037.66,4965288.65,38749.01,1,-8.278628775160168e-05,True,4037.660000000149
2021-01-15 04:00:00,5003798.86,4965288.65,38510.21,1,-4.772146339115935e-05,True,3798.8600000003353
2021-01-15 08:00:00,5003456.98,4965288.65,38168.33,1,-6.83240892700443e-05,True,3456.980000000447
2021-01-15 12:00:00,5000979.96,4965288.65,35691.31,1,-0.0004950617163096416,True,979.9599999999627
2021-01-15 16:00:00,5000981.100000001,5000981.100000001,0.0,0,2.279553226181008e-07,True,981.1000000005588
2021-01-15 20:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-16 00:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-16 04:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-16 08:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-16 12:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-16 16:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-16 20:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-17 00:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
2021-01-17 04:00:00,5000981.100000001,5000981.100000001,0.0,0,0.0,True,981.1000000005588
