datetime,pnl
2021-01-12T04:00:00,-708.1699999999983
2021-01-15T04:00:00,-415.6100000000006
2021-01-17T16:00:00,-705.0
2021-01-29T20:00:00,-2816.3899999999994
2021-02-24T00:00:00,-3379.459999999999
2021-03-03T12:00:00,1957.75
2021-03-07T00:00:00,-962.689999999995
2021-03-07T12:00:00,661.1200000000026
2021-03-17T04:00:00,1392.3600000000006
2021-03-18T20:00:00,-2232.989999999998
2021-03-23T00:00:00,1441.8600000000006
2021-03-28T20:00:00,-1157.3499999999985
2021-04-05T12:00:00,-1145.8099999999977
2021-04-06T12:00:00,-586.3799999999974
2021-04-07T12:00:00,1513.0400000000009
2021-04-10T16:00:00,-606.1500000000015
2021-04-18T08:00:00,-1367.489999999998
2021-04-28T00:00:00,549.8499999999985
2021-05-05T12:00:00,-1098.0299999999988
2021-05-06T16:00:00,-907.8199999999997
2021-05-12T00:00:00,-1119.3099999999977
2021-05-27T04:00:00,-1590.8999999999942
2021-05-28T20:00:00,942.2699999999968
2021-06-03T00:00:00,-378.8899999999994
2021-06-06T04:00:00,-709.9699999999939
2021-06-11T00:00:00,-366.6399999999994
2021-06-19T00:00:00,-706.0999999999985
2021-06-28T20:00:00,-521.6600000000035
2021-07-03T04:00:00,-666.7900000000009
2021-07-04T20:00:00,355.6599999999962
2021-07-07T04:00:00,-679.989999999998
2021-07-07T20:00:00,-345.3399999999965
2021-07-08T16:00:00,-649.5299999999988
2021-07-12T12:00:00,-746.3800000000047
2021-07-13T12:00:00,661.4200000000019
2021-07-23T00:00:00,323.47999999999956
2021-08-04T12:00:00,-763.4099999999962
2021-08-06T16:00:00,1711.5299999999988
2021-08-18T16:00:00,-899.1599999999962
2021-08-20T20:00:00,488.9100000000035
2021-08-27T08:00:00,-934.6699999999983
2021-08-29T04:00:00,-689.1100000000006
2021-08-31T12:00:00,-943.5299999999988
2021-09-02T16:00:00,-511.9300000000003
2021-09-08T12:00:00,-1295.3999999999942
2021-09-16T00:00:00,-482.5599999999977
2021-09-20T20:00:00,874.6300000000047
2021-10-01T12:00:00,2728.2999999999956
2021-10-24T08:00:00,1229.7200000000012
2021-10-26T16:00:00,-628.3300000000017
2021-10-27T12:00:00,1383.3399999999965
2021-10-31T00:00:00,616.6199999999953
2021-11-07T00:00:00,-1223.0599999999977
2021-11-08T08:00:00,721.7300000000032
