datetime,pnl,in_sample,cumpnl
2021-01-13 16:00:00,-279.5400000000009,True,-279.5400000000009
2021-01-17 04:00:00,-195.54999999999563,True,-475.0899999999965
2021-01-21 12:00:00,-2434.770000000004,True,-2909.8600000000006
2021-01-22 16:00:00,-207.8100000000013,True,-3117.670000000002
2021-01-30 20:00:00,-34.23999999999796,True,-3151.91
2021-01-31 16:00:00,-725.0900000000038,True,-3877.0000000000036
2021-02-23 16:00:00,-2246.0399999999936,True,-6123.039999999997
2021-02-26 00:00:00,-1544.479999999996,True,-7667.519999999993
2021-03-05 16:00:00,-47.48999999999796,True,-7715.009999999991
2021-03-06 00:00:00,-525.739999999998,True,-8240.749999999989
2021-03-07 16:00:00,-126.68999999999505,True,-8367.439999999984
2021-03-08 00:00:00,-49.55999999999767,True,-8416.999999999982
2021-03-22 04:00:00,-199.11999999999534,True,-8616.119999999977
2021-03-23 16:00:00,-48.05000000000291,True,-8664.16999999998
2021-03-28 16:00:00,-54.650000000001455,True,-8718.819999999982
2021-03-31 04:00:00,-98.26000000000204,True,-8817.079999999984
2021-04-08 16:00:00,-1305.0699999999997,True,-10122.149999999983
2021-04-09 12:00:00,-480.01000000000204,True,-10602.159999999985
2021-04-10 20:00:00,-59.29000000000087,True,-10661.449999999986
2021-04-18 08:00:00,-1367.489999999998,True,-12028.939999999984
2021-04-28 16:00:00,-500.5,True,-12529.439999999984
2021-04-30 20:00:00,-78.93000000000029,True,-12608.369999999984
2021-05-11 00:00:00,-55.830000000001746,True,-12664.199999999986
2021-05-12 08:00:00,-636.3600000000006,True,-13300.559999999987
2021-05-14 16:00:00,5231.07,True,-8069.489999999987
2021-05-31 20:00:00,-85.28000000000611,True,-8154.769999999993
2021-06-01 08:00:00,-108.20999999999913,True,-8262.979999999992
2021-06-01 20:00:00,-35.90999999999622,True,-8298.889999999989
2021-06-02 12:00:00,-37.220000000001164,True,-8336.10999999999
2021-06-04 00:00:00,-635.3499999999985,True,-8971.459999999988
2021-06-09 00:00:00,4573.139999999999,True,-4398.319999999989
2021-06-09 20:00:00,-117.04000000000087,True,-4515.35999999999
2021-06-12 04:00:00,-2407.6699999999983,True,-6923.029999999988
2021-06-14 08:00:00,-38.9800000000032,True,-6962.009999999991
2021-06-19 20:00:00,-36.099999999998545,True,-6998.10999999999
2021-06-29 20:00:00,-36.229999999995925,True,-7034.339999999986
2021-06-30 08:00:00,-113.68000000000029,True,-7148.019999999986
2021-06-30 16:00:00,-653.1999999999971,True,-7801.219999999983
2021-07-01 12:00:00,-33.34000000000378,True,-7834.559999999987
2021-07-02 08:00:00,-443.5500000000029,True,-8278.10999999999
2021-07-03 08:00:00,-975.5200000000041,True,-9253.629999999994
2021-07-05 08:00:00,-34.35000000000582,True,-9287.98
2021-07-05 16:00:00,-33.330000000001746,True,-9321.310000000001
2021-07-09 20:00:00,-33.849999999998545,True,-9355.16
2021-07-12 12:00:00,-33.5,True,-9388.66
2021-07-21 08:00:00,2542.470000000001,True,-6846.189999999999
2021-07-27 00:00:00,3844.429999999993,True,-3001.7600000000057
2021-08-05 16:00:00,-717.7900000000009,True,-3719.5500000000065
2021-08-19 16:00:00,-1554.989999999998,True,-5274.5400000000045
2021-08-20 00:00:00,-46.720000000001164,True,-5321.260000000006
2021-08-26 12:00:00,-46.919999999998254,True,-5368.180000000004
2021-08-27 00:00:00,-46.81999999999971,True,-5415.000000000004
2021-08-30 20:00:00,-626.6300000000047,True,-6041.630000000008
2021-09-02 20:00:00,-201.11000000000058,True,-6242.740000000009
2021-09-03 04:00:00,-210.73999999999796,True,-6453.480000000007
2021-09-03 12:00:00,-850.0699999999997,True,-7303.550000000007
2021-09-07 20:00:00,-69.12999999999738,True,-7372.680000000004
2021-09-17 20:00:00,-47.5199999999968,True,-7420.200000000001
2021-09-22 08:00:00,3030.5899999999965,True,-4389.610000000004
2021-10-01 04:00:00,-187.3000000000029,True,-4576.910000000007
2021-10-13 08:00:00,9040.5,True,4463.589999999993
2021-10-27 04:00:00,-393.0699999999997,True,4070.519999999993
2021-10-28 16:00:00,-60.99000000000524,True,4009.529999999988
2021-11-01 20:00:00,-115.08000000000175,True,3894.449999999986
2021-11-02 08:00:00,-459.0900000000038,True,3435.3599999999824
2021-11-04 12:00:00,-61.900000000001455,True,3373.459999999981
2021-11-06 04:00:00,-61.01000000000204,True,3312.449999999979
2021-11-12 20:00:00,-677.8799999999974,True,2634.5699999999815
2021-11-16 08:00:00,-60.93999999999505,True,2573.6299999999865
2021-11-17 00:00:00,-60.23999999999796,True,2513.3899999999885
2021-11-29 04:00:00,-57.30999999999767,True,2456.079999999991
2021-11-29 16:00:00,-213.2699999999968,True,2242.809999999994
2021-12-03 00:00:00,-136.44000000000233,True,2106.3699999999917
2021-12-03 08:00:00,-415.32999999999447,True,1691.0399999999972
2021-12-14 16:00:00,-766.8199999999997,True,924.2199999999975
2021-12-16 12:00:00,-48.7100000000064,True,875.5099999999911
2021-12-21 04:00:00,-48.580000000001746,True,826.9299999999894
2021-12-28 08:00:00,1270.3900000000067,True,2097.319999999996
2021-12-30 04:00:00,-59.330000000001746,True,2037.9899999999943
2021-12-30 20:00:00,-46.93999999999505,True,1991.0499999999993
2021-12-31 08:00:00,-47.19000000000233,True,1943.859999999997
2022-01-16 08:00:00,-42.970000000001164,True,1900.8899999999958
2022-01-16 16:00:00,-42.95999999999913,True,1857.9299999999967
2022-01-17 00:00:00,-243.65000000000146,True,1614.2799999999952
2022-01-17 08:00:00,-42.640000000006694,True,1571.6399999999885
2022-01-18 20:00:00,-41.83999999999651,True,1529.799999999992
2022-01-19 08:00:00,-41.669999999998254,True,1488.1299999999937
2022-01-19 16:00:00,-51.84000000000378,True,1436.28999999999
2022-01-20 00:00:00,-41.86000000000058,True,1394.4299999999894
2022-01-20 12:00:00,-42.04000000000087,True,1352.3899999999885
2022-01-24 00:00:00,4432.059999999998,True,5784.449999999986
2022-02-01 00:00:00,-38.400000000001455,True,5746.049999999985
2022-02-08 20:00:00,2283.060000000005,True,8029.10999999999
2022-02-23 00:00:00,3695.7000000000044,True,11724.809999999994
2022-03-03 16:00:00,2356.5899999999965,True,14081.39999999999
2022-03-08 12:00:00,1784.2099999999991,True,15865.60999999999
2022-03-08 20:00:00,-91.59999999999854,True,15774.009999999991
2022-03-10 00:00:00,-41.099999999998545,True,15732.909999999993
2022-03-10 20:00:00,-249.90000000000146,True,15483.009999999991
2022-03-15 04:00:00,-905.1999999999971,True,14577.809999999994
2022-03-16 00:00:00,-459.79999999999563,True,14118.009999999998
2022-03-16 16:00:00,-39.45999999999913,True,14078.55
2022-03-19 12:00:00,-113.5,True,13965.05
2022-03-20 04:00:00,-266.0,True,13699.05
2022-04-13 16:00:00,3025.0,True,16724.05
2022-04-21 16:00:00,-288.8000000000029,True,16435.249999999996
2022-04-22 20:00:00,-68.0,True,16367.249999999996
2022-04-23 12:00:00,-39.56999999999971,True,16327.679999999997
2022-04-26 08:00:00,-40.5199999999968,True,16287.16
2022-04-27 04:00:00,-38.44999999999709,True,16248.710000000003
2022-04-28 12:00:00,-39.36000000000058,True,16209.350000000002
2022-05-04 16:00:00,-38.470000000001164,True,16170.880000000001
2022-05-05 00:00:00,-171.09999999999854,True,15999.780000000002
