datetime,pnl,entry_price,exit_price,return,in_sample
2021-01-12 04:00:00,-397.83000000000175,35019.09,35406.92,-0.011360375155379588,True
2021-01-12 12:00:00,-1004.6299999999974,35452.47,36447.1,-0.028337376775158327,True
2021-01-13 12:00:00,-597.4500000000044,34431.81,35019.26,-0.017351687291490177,True
2021-01-15 04:00:00,2702.279999999999,38747.7,36035.42,0.06974039749456094,True
2021-01-16 04:00:00,-199.1999999999971,36566.05,36755.25,-0.005447676191439794,True
2021-01-18 04:00:00,-737.4700000000012,35148.25,35875.72,-0.02098169894660477,True
2021-01-19 20:00:00,197.04000000000087,36346.15,36139.11,0.0054212069228790636,True
2021-01-25 20:00:00,-1069.1700000000055,33449.84,34509.01,-0.031963381588671444,True
2021-01-29 08:00:00,-1456.6100000000006,32307.25,33753.86,-0.04508616487011431,True
2021-01-29 20:00:00,-2719.4400000000023,34360.0,37069.44,-0.07914551804423756,True
2021-01-30 12:00:00,-378.7800000000061,33707.77,34076.55,-0.01123717172628169,True
2021-02-01 16:00:00,-657.1500000000015,33181.26,33828.41,-0.019804853703566452,True
2021-02-02 00:00:00,-331.5699999999997,33546.08,33867.65,-0.009884016254656272,True
2021-02-04 16:00:00,2333.6200000000026,36605.43,34261.81,0.06375065120120164,True
2021-02-24 08:00:00,-752.8399999999965,50148.93,50891.77,-0.015012085003608183,True
2021-02-25 20:00:00,-245.8000000000029,49466.25,49702.05,-0.004969044550577473,True
2021-03-01 20:00:00,-915.2400000000052,48279.27,49184.51,-0.01895720461390583,True
2021-03-04 00:00:00,1909.5400000000009,50373.75,48454.21,0.037907441872006765,True
2021-03-06 00:00:00,-535.739999999998,48772.68,49298.42,-0.01098442816757246,True
2021-03-08 08:00:00,869.1800000000003,49787.39,48908.21,0.017457834202596285,True
2021-03-24 20:00:00,-1810.3799999999974,54788.87,56589.25,-0.03304284246052159,True
2021-03-27 12:00:00,-559.989999999998,54480.01,55030.0,-0.010278816028117432,True
2021-03-28 20:00:00,-576.3300000000017,55217.96,55784.29,-0.010437364944304386,True
2021-04-14 16:00:00,5327.25,63132.48,57795.23,0.08438208034913249,True
2021-04-27 20:00:00,-398.8600000000006,54755.2,55144.06,-0.007284422301443527,True
2021-04-29 00:00:00,-595.6599999999962,54861.76,55447.42,-0.010857471579475324,True
2021-05-02 04:00:00,-639.1399999999994,56510.0,57139.14,-0.011310210582197831,True
2021-05-04 16:00:00,-2088.3199999999997,53876.71,55955.03,-0.03876108990322534,True
2021-05-05 20:00:00,-362.68999999999505,57243.4,57596.09,-0.006335926936555045,True
2021-05-09 16:00:00,941.2899999999936,57461.84,56510.55,0.01638113224358972,True
2021-05-12 12:00:00,-195.0500000000029,56472.06,56657.11,-0.003453920398866323,True
2021-06-10 04:00:00,-434.54999999999563,36945.44,37369.99,-0.011761938685802513,True
2021-06-10 16:00:00,-922.9700000000012,36893.51,37806.48,-0.025017137160438276,True
2021-06-11 16:00:00,-567.2300000000032,36805.78,37363.01,-0.015411438094777593,True
